"State","Year","temperature (Celsius) (AVG)"
"AK","2016",4.2751
"AL","2016",21.4637
"AR","2016",18.9036
"AZ","2016",20.7056
"CA","2016",20.5633
"CO","2016",11.3685
"CT","2016",14.734
"DE","2016",16.148
"FL","2016",25.0501
"GA","2016",21.1698
"HI","2016",24.5808
"IA","2016",11.2214
"ID","2016",12.0679
"IL","2016",12.9838
"IN","2016",13.1822
"KS","2016",17.4253
"KY","2016",15.421
"LA","2016",22.24
"MA","2016",14.1217
"MD","2016",15.9204
"ME","2016",11.0063
"MI","2016",11.6231
"MN","2016",8.0192
"MO","2016",15.5382
"MS","2016",20.719
"MT","2016",10.5719
"NC","2016",17.8263
"ND","2016",8.979
"NE","2016",14.8036
"NH","2016",12.3903
"NJ","2016",15.8464
"NM","2016",16.588
"NV","2016",14.5856
"NY","2016",12.42
"OH","2016",13.4366
"OK","2016",19.9858
"OR","2016",14.3975
"PA","2016",13.4
"RI","2016",15.2294
"SC","2016",20.5875
"SD","2016",12.3311
"TN","2016",16.7982
"TX","2016",22.6766
"UT","2016",12.574
"VA","2016",16.3969
"VT","2016",10.5036
"WA","2016",12.4592
"WI","2016",9.3766
"WV","2016",13.5665
"WY","2016",10.3628
"AK","1986",3.6143
"AL","1986",20.9481
"AR","1986",20.6401
"AZ","1986",22.1738
"CA","1986",21.8534
"CO","1986",11.8795
"CT","1986",13.7535
"DE","1986",16.6634
"FL","1986",24.8255
"GA","1986",22.5221
"HI","1986",25.7133
"IA","1986",11.7652
"ID","1986",14.3772
"IL","1986",13.8516
"IN","1986",13.9661
"KS","1986",17.7196
"KY","1986",16.6261
"LA","1986",21.7394
"MA","1986",13.1059
"MD","1986",16.1791
"ME","1986",9.2368
"MI","1986",11.5331
"MN","1986",9.1758
"MO","1986",16.7816
"MS","1986",21.1583
"MT","1986",11.5723
"NC","1986",18.9882
"ND","1986",9.3112
"NE","1986",14.6486
"NH","1986",10.991
"NJ","1986",15.4715
"NM","1986",18.0659
"NV","1986",17.748
