"State","Year","temperature (Celsius) (AVG)"
"AK","2016",-5.1074
"AL","2016",9.6279
"AR","2016",8.2528
"AZ","2016",6.3555
"CA","2016",7.036
"CO","2016",-3.0174
"CT","2016",3.7651
"DE","2016",7.3411
"FL","2016",14.2794
"GA","2016",9.3797
"HI","2016",16.8678
"IA","2016",0.991
"ID","2016",-1.1604
"IL","2016",3.1784
"IN","2016",3.6365
"KS","2016",4.4744
"KY","2016",5.4916
"LA","2016",11.8942
"MA","2016",2.9247
"MD","2016",6.4796
"ME","2016",-1.6181
"MI","2016",1.1196
"MN","2016",-3.2687
"MO","2016",5.1389
"MS","2016",9.4616
"MT","2016",-2.6752
"NC","2016",7.4045
"ND","2016",-3.4174
"NE","2016",1.4563
"NH","2016",-0.3488
"NJ","2016",5.8108
"NM","2016",1.8981
"NV","2016",1.521
"NY","2016",1.625
"OH","2016",3.8202
"OK","2016",7.5267
"OR","2016",2.1122
"PA","2016",3.3247
"RI","2016",4.7043
"SC","2016",9.4447
"SD","2016",-0.8414
"TN","2016",6.1551
"TX","2016",10.3003
"UT","2016",-0.408
"VA","2016",5.7699
"VT","2016",-1.9104
"WA","2016",2.4603
"WI","2016",-0.8676
"WV","2016",3.1255
"WY","2016",-3.6327
"AK","1986",-7.9133
"AL","1986",7.6669
"AR","1986",7.3951
"AZ","1986",7.5156
"CA","1986",7.4445
"CO","1986",-3.8977
"CT","1986",2.7964
"DE","1986",6.1862
"FL","1986",12.4701
"GA","1986",8.798
"HI","1986",17.2129
"IA","1986",0.5108
"ID","1986",-1.0973
"IL","1986",2.488
"IN","1986",3.2741
"KS","1986",4.4911
"KY","1986",4.2743
"LA","1986",10.567
"MA","1986",2.0491
"MD","1986",5.4612
"ME","1986",-3.3041
"MI","1986",-0.6282
"MN","1986",-3.4026
"MO","1986",4.1234
"MS","1986",8.3242
"MT","1986",-4.0771
"NC","1986",6.0026
"ND","1986",-4.3453
"NE","1986",0.8091
"NH","1986",-1.9339
"NJ","1986",4.2935
"NM","1986",2.0986
"NV","1986",1.7308
"NY","1986",0.5232
"OH","1986",2.9232
"OK","1986",7.0984
"OR","1986",2.7458
"PA","1986",2.0286
"RI","1986",3.4791
"SC","1986",8.3396
"SD","1986",-1.2242
"TN","1986",5.412
"TX","1986",9.3069
"UT","1986",0.8397
"VA","1986",4.8988
"VT","1986",-2.859
"WA","1986",3.5215
"WI","1986",-2.0815
"WV","1986",2.416
"WY","1986",-4.8932
"AK","1956",-10.9951
"AL","1956",8.212
"AR","1956",7.9363
"AZ","1956",6.2721
"CA","1956",6.3524
"CO","1956",-3.9821
"CT","1956",2.9339
"DC","1956",8.8596
"DE","1956",6.6698
"FL","1956",12.1605
"GA","1956",8.5447
"HI","1956",16.9534
"IA","1956",0.1188
"ID","1956",-3.7244
"IL","1956",4.1148
"IN","1956",4.2959
"KS","1956",4.0339
"KY","1956",6.1136
"LA","1956",10.1986
"MA","1956",2.2936
"MD","1956",6.088
"ME","1956",-2.9275
"MI","1956",0.0683
"MN","1956",-4.6015
"MO","1956",5.2454
"MS","1956",8.8295
"MT","1956",-5.907
"NC","1956",7.0549
"ND","1956",-6.0267
"NE","1956",0.5643
"NH","1956",-2.2536
"NJ","1956",5.1408
"NM","1956",0.6169
"NV","1956",-0.228
"NY","1956",0.9366
"OH","1956",3.8295
"OK","1956",7.7302
"OR","1956",0.2648
"PA","1956",3.2087
"RI","1956",4.0415
"SC","1956",8.5539
"SD","1956",-3.2225
"TN","1956",6.9318
"TX","1956",9.5057
"UT","1956",-1.2346
"VA","1956",6.3224
"VT","1956",-3.2279
"WA","1956",0.6976
"WI","1956",-2.2932
"WV","1956",3.3557
"WY","1956",-5.4728
"AK","1926",-7.3544
"AL","1926",9.0227
"AR","1926",7.6349
"AZ","1926",6.1438
"CA","1926",6.8541
"CO","1926",-3.539
"CT","1926",2.1574
"DE","1926",5.78
"FL","1926",12.0854
"GA","1926",9.1517
"HI","1926",16.9895
"IA","1926",0.5348
"ID","1926",-0.9833
"IL","1926",3.0493
"IN","1926",2.8687
"KS","1926",4.3668
"KY","1926",5.2117
"LA","1926",10.8073
"MA","1926",1.9182
"MD","1926",4.2281
"ME","1926",-3.1678
"MI","1926",-1.2437
"MN","1926",-4.1173
"MO","1926",4.5634
"MS","1926",9.1131
"MT","1926",-2.7257
"NC","1926",6.431
"ND","1926",-4.465
"NE","1926",1.554
"NH","1926",-2.2675
"NJ","1926",3.6528
"NM","1926",-0.113
"NV","1926",1.4594
"NY","1926",-0.0476
"OH","1926",2.4584
"OK","1926",6.8159
"OR","1926",2.6976
"PA","1926",1.9684
"RI","1926",3.5147
"SC","1926",8.5021
"SD","1926",-1.4625
"TN","1926",6.4332
"TX","1926",9.1657
"UT","1926",-0.5043
"VA","1926",5.4193
"VT","1926",-3.252
"WA","1926",3.207
"WI","1926",-3.1625
"WV","1926",2.7163
"WY","1926",-4.1382
"AK","1896",-10.1232
"AL","1896",8.4794
"AR","1896",8.7032
"AZ","1896",10.1123
"CA","1896",7.2947
"CO","1896",-3.602
"CT","1896",2.231
"DE","1896",5.8539
"FL","1896",13.0213
"GA","1896",8.1506
"IA","1896",0.8972
"ID","1896",-1.7801
"IL","1896",3.8024
"IN","1896",4.5195
"KS","1896",4.7485
"KY","1896",6.4711
"LA","1896",10.4684
"MA","1896",1.2099
"MD","1896",4.3046
"ME","1896",-3.0195
"MI","1896",0.6243
"MN","1896",-4.1414
"MO","1896",5.0194
"MS","1896",10.2187
"MT","1896",-4.9965
"NC","1896",6.5586
"ND","1896",-6.32
"NE","1896",0.9464
"NH","1896",-2.6163
"NJ","1896",3.4413
"NM","1896",1.5991
"NV","1896",1.0875
"NY","1896",-0.3102
"OH","1896",2.4298
"OK","1896",6.9716
"OR","1896",2.1414
"PA","1896",2.402
"RI","1896",3.4415
"SC","1896",8.8551
"SD","1896",-3.0967
"TN","1896",6.5993
"TX","1896",8.9217
"UT","1896",0.2804
"VA","1896",4.9312
"VT","1896",-4.3209
"WA","1896",1.9472
"WI","1896",-1.6087
"WV","1896",3.0043
"WY","1896",-4.1355
"NJ","1866",7.5041
