"fips","county","province_state","confirmed","growth_count","num_licensed_beds","num_staffed_beds","num_icu_beds"
"36061","New York City","New York","192593","192592","8650","7063","944"
"17031","Cook","Illinois","62218","62214","19229","16019","2021"
"36059","Nassau","New York","39136","39135","4758","3565","334"
"36103","Suffolk","New York","38117","38116","3940","3635","298"
"06037","Los Angeles","California","38011","38010","23854","22423","2262"
"36119","Westchester","New York","32224","32223","3014","2425","233"
"42101","Philadelphia","Pennsylvania","19606","19510","7171","6074","874"
"25017","Middlesex","Massachusetts","19129","19128","3618","3440","320"
"26163","Wayne","Michigan","19065","18588","6263","5302","676"
"34017","Hudson","New Jersey","18498","18497","1764","1094","89"
"34003","Bergen","New Jersey","17361","17359","2874","1951","122"
"25025","Suffolk","Massachusetts","16479","16476","6677","6158","903"
"34013","Essex","New Jersey","16204","16032","3541","2512","226"
"12086","Miami-Dade","Florida","15658","15431","7971","8103","858"
"34031","Passaic","New Jersey","15205","15110","920","813","53"
"34039","Union","New Jersey","14702","14578","1332","951","77"
"34023","Middlesex","New Jersey","14668","14521","2527","2013","232"
"09001","Fairfield","Connecticut","14248","14246","1697","1697","173"
"36087","Rockland","New York","12758","12756","1301","964","50"
"25009","Essex","Massachusetts","12462","12402","1096","1312","107"
"24033","Prince George's","Maryland","11316","11276","785","629","78"
"09009","New Haven","Connecticut","10159","10130","1721","1721","201"
"36071","Orange","New York","9943","9696","1112","985","76"
"48201","Harris","Texas","9465","9463","15692","13320","1606"
"25027","Worcester","Massachusetts","9252","9215","2285","2539","212"
"44007","Providence","Rhode Island","9112","9111","2700","2425","333"
"09003","Hartford","Connecticut","8723","8669","3065","2900","476"
"18097","Marion","Indiana","8303","8302","4103","4103","467"
"24031","Montgomery","Maryland","8206","8203","2146","1657","199"
"34029","Ocean","New Jersey","7913","7811","1528","1319","114"
"26125","Oakland","Michigan","8043","7766","4386","3787","390"
"51059","Fairfax","Virginia","7643","7641","2810","2599","336"
"25021","Norfolk","Massachusetts","7474","7473","1322","1188","104"
"53033","King","Washington","7472","7458","5631","4777","636"
"48113","Dallas","Texas","7455","7324","8320","7167","755"
"04013","Maricopa","Arizona","7240","7239","11593","9953","1137"
"34025","Monmouth","New Jersey","7339","7181","2155","1601","128"
"25023","Plymouth","Massachusetts","7064","7063","1148","1107","48"
"11001","District of Columbia","District of Columbia","7123","7021","4262","3300","407"
"22051","Jefferson","Louisiana","7039","6873","2259","1999","209"
"17097","Lake","Illinois","6489","6420","1218","1025","109"
"22071","Orleans","Louisiana","6809","6358","2209","1561","269"
"12011","Broward","Florida","6243","6241","6026","4873","525"
"26099","Macomb","Michigan","6345","6205","1229","1240","139"
"34027","Morris","New Jersey","6036","5917","1782","1567","111"
"42091","Montgomery","Pennsylvania","5872","5868","3200","3043","289"
"25005","Bristol","Massachusetts","5870","5846","1207","1123","110"
"06073","San Diego","California","5836","5835","6658","6386","698"
"17043","DuPage","Illinois","5904","5825","1928","1758","219"
"34021","Mercer","New Jersey","5825","5785","1608","1215","83"
"42045","Delaware","Pennsylvania","5619","5618","1071","953","94"
"06065","Riverside","California","5618","5617","3537","3136","385"
"34007","Camden","New Jersey","5455","5433","2231","2408","166"
"32003","Clark","Nevada","5366","5365","6897","5727","652"
"25013","Hampden","Massachusetts","5205","5193","1537","1415","112"
"27053","Hennepin","Minnesota","5158","5101","6916","3961","430"
"36029","Erie","New York","4954","4898","2587","2293","236"
"55079","Milwaukee","Wisconsin","4945","4763","4207","3412","483"
"08031","Denver","Colorado","4656","4654","3071","1983","294"
"24005","Baltimore","Maryland","4624","4596","1965","1518","94"
"39049","Franklin","Ohio","4493","4459","5592","5565","583"
"12099","Palm Beach","Florida","4524","4452","4542","4052","427"
"42017","Bucks","Pennsylvania","4439","4405","1137","983","151"
"17089","Kane","Illinois","4396","4383","1483","1308","120"
"06059","Orange","California","4376","4375","5952","5772","698"
"17197","Will","Illinois","4388","4367","1023","894","97"
"48439","Tarrant","Texas","4350","4303","6644","5636","729"
"29189","St. Louis","Missouri","4287","4286","4846","4231","498"
"34035","Somerset","New Jersey","4255","4204","865","743","45"
"34005","Burlington","New Jersey","3937","3911","909","795","100"
"47037","Davidson","Tennessee","3893","3892","4382","3253","604"
