"fips","admin2","province_state","country_region","last_update","latitude","longitude","confirmed","deaths","recovered","active","combined_key"
"27117","Pipestone","Minnesota","US","2020-04-19T23:41:01","44.023","-96.258","2","0","0","2","Pipestone, Minnesota, US"
"23021","Piscataquis","Maine","US","2020-04-19T23:41:01","45.838","-69.286","1","0","0","1","Piscataquis, Maine, US"
"08097","Pitkin","Colorado","US","2020-04-19T23:41:01","39.217","-106.931","57","2","0","55","Pitkin, Colorado, US"
"37147","Pitt","North Carolina","US","2020-04-19T23:41:01","35.595","-77.374","93","1","0","92","Pitt, North Carolina, US"
"40121","Pittsburg","Oklahoma","US","2020-04-19T23:41:01","34.921","-95.751","17","1","0","16","Pittsburg, Oklahoma, US"
"51143","Pittsylvania","Virginia","US","2020-04-19T23:41:01","36.82","-79.397","6","0","0","6","Pittsylvania, Virginia, US"
"06061","Placer","California","US","2020-04-19T23:41:01","39.092","-120.804","132","8","0","124","Placer, California, US"
"22075","Plaquemines","Louisiana","US","2020-04-19T23:41:01","29.422","-89.603","157","11","0","146","Plaquemines, Louisiana, US"
"29165","Platte","Missouri","US","2020-04-19T23:41:01","39.382","-94.771","27","0","0","27","Platte, Missouri, US"
"31141","Platte","Nebraska","US","2020-04-19T23:41:01","41.572","-97.521","7","0","0","7","Platte, Nebraska, US"
